BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502908,Solid Beige,SSP-01,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502909,Solid Beige,SSP-01,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502910,Solid Orange,SSP-02,Palette,S,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502911,Solid Orange,SSP-02,Palette,S,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502912,Solid Orange,SSP-02,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502913,Solid Orange,SSP-02,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502914,Solid Orange,SSP-02,Palette,M,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502915,Solid Orange,SSP-02,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502916,Solid Orange,SSP-02,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502917,Solid Orange,SSP-02,Palette,L,5250,5250,2-PIECE Cotton ,35%,0%,ACTIVE
5071502918,MAHRU,TS-G-01,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502919,MAHRU,TS-G-01,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502920,MAHRU,TS-G-01,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502921,MAHRU,TS-G-01,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502922,NAYAB,TS-G-02,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502923,NAYAB,TS-G-02,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502924,NAYAB,TS-G-02,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502925,NAYAB,TS-G-02,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502926,ZUNAIRA,TS-G-06,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502927,ZUNAIRA,TS-G-06,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502928,ZUNAIRA,TS-G-06,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502929,ZUNAIRA,TS-G-06,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502930,PARIZAD,TS-G-08,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502931,PARIZAD,TS-G-08,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502932,PARIZAD,TS-G-08,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502933,PARIZAD,TS-G-08,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502934,ZEBA,TS-G-09,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502935,ZEBA,TS-G-09,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502936,ZEBA,TS-G-09,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502937,ZEBA,TS-G-09,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502938,GULBAHAR,TS-G-14,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502939,GULBAHAR,TS-G-14,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502940,JAHANARA,TS-G-15,GHAZAL25,S,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502941,JAHANARA,TS-G-15,GHAZAL25,M,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502942,JAHANARA,TS-G-15,GHAZAL25,L,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5071502943,JAHANARA,TS-G-15,GHAZAL25,XL,"  12,500 ","  12,500 ",3-PIECE LAWN,35%,0%,ACTIVE
5080502944,BERRY BLUE,PBN-251,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502945,BERRY BLUE,PBN-251,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502946,BERRY BLUE,PBN-251,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502947,PEACH BLUSH,PBN-252,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502948,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502949,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502950,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502951,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502952,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502953,BERRY,PBN-253,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502954,AQUA MARINE,PBN-254,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502955,AQUA MARINE,PBN-254,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
5080502956,BLUE OCEAN,PBN-255,NAZM 2,unstitched,"  6,250 ","  6,250 ",3-PIECE LAWN 2,50%,0%,ACTIVE
