BarCode,Product Name,SKU,Collection,SIZE,Sale Price,Cost Price,Collection Description,Collection Discount,Tax Percentage,STATUS
5071502088,Linaah XL,FW25-060,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502089,Cyana S,FW25-050,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502090,Cyana M,FW25-050,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502091,Cyana L,FW25-050,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502092,Cyana XL,FW25-050,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502093,Cyana S,FW25-050,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502094,Cyana M,FW25-050,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502095,Cyana L,FW25-050,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502096,Cyana XL,FW25-050,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502097,Meher S,FW25-040,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502098,Meher M,FW25-040,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502099,Meher L,FW25-040,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502100,Meher XL,FW25-040,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502101,Meher S,FW25-040,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502102,Meher M,FW25-040,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502103,Meher L,FW25-040,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502104,Meher XL,FW25-040,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502105,Avelyn S,FW25-030,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502106,Avelyn M,FW25-030,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502107,Avelyn L,FW25-030,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502108,Avelyn XL,FW25-030,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502109,Avelyn S,FW25-030,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502110,Avelyn M,FW25-030,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502111,Avelyn L,FW25-030,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502112,Avelyn XL,FW25-030,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502113,Zayrah S,FW25-02,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502114,Zayrah M,FW25-02,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502115,Zayrah L,FW25-02,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502116,Zayrah XL,FW25-02,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502121,Nura S,FW25-01,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502122,Nura M,FW25-01,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502123,Nura L,FW25-01,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502124,Nura XL,FW25-01,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502125,Nura S,FW25-01,FUSION WAVES,S,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502126,Nura M,FW25-01,FUSION WAVES,M,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502127,Nura L,FW25-01,FUSION WAVES,L,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502128,Nura XL,FW25-01,FUSION WAVES,XL,"  6,250 ","  6,250 ",2-PIECE PRINT,35%,0%,ACTIVE
5071502129,Sahara Gold S,TSP-25110,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502130,Sahara Gold M,TSP-25110,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502131,Sahara Gold L,TSP-25110,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502132,Sahara Gold XL,TSP-25110,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502133,Sahara Gold S,TSP-25110,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502134,Sahara Gold M,TSP-25110,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502135,Sahara Gold L,TSP-25110,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502136,Sahara Gold XL,TSP-25110,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502137,Noir S,TSP-25210,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502138,Noir M,TSP-25210,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502139,Noir L,TSP-25210,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502140,Noir XL,TSP-25210,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502141,Noir S,TSP-25210,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502142,Noir M,TSP-25210,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502143,Noir L,TSP-25210,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502144,Noir XL,TSP-25210,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502145,Midnight Haze S,TSP-25310,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502146,Midnight Haze M,TSP-25310,Palette,M,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502147,Midnight Haze L,TSP-25310,Palette,L,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502148,Midnight Haze XL,TSP-25310,Palette,XL,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
5071502149,Midnight Haze S,TSP-25310,Palette,S,"  5,250 ","  5,250 ",2-PIECE SOLID,35%,0%,ACTIVE
